filename,mean_speedKMH
2021-02-28-19,15
2021-02-28-20,17
2021-02-28-21,12
2021-02-28-22,17
2021-02-28-23,15
2021-03-01-0,20
2021-03-01-1,14
2021-03-01-3,38
2021-03-01-4,45
2021-03-01-5,13
2021-03-01-6,36
2021-03-01-7,14
2021-03-01-8,14
2021-03-01-9,13
2021-03-01-10,15
2021-03-01-11,13
2021-03-01-12,12
2021-03-01-13,12
2021-03-01-14,14
2021-03-01-15,12
2021-03-01-16,13
2021-03-01-17,20
2021-03-01-18,14
2021-03-01-19,19
2021-03-01-20,12
2021-03-01-21,12
2021-03-01-22,12
2021-03-01-23,13
2021-03-02-0,9
2021-03-02-1,43
2021-03-02-2,17
2021-03-02-3,12
2021-03-02-4,33
2021-03-02-5,11
2021-03-02-6,35
2021-03-02-7,18
2021-03-02-8,14
2021-03-02-9,20
2021-03-02-10,13
2021-03-02-11,12
2021-03-02-12,12
2021-03-02-13,12
2021-03-02-14,12
2021-03-02-15,14
2021-03-02-16,13
2021-03-02-17,14
2021-03-02-18,15
2021-03-02-19,12
2021-03-02-20,13
2021-03-02-21,18
2021-03-02-22,14
2021-03-02-23,32
2021-03-03-0,11
2021-03-03-1,35
2021-03-03-2,34
2021-03-03-3,5
2021-03-03-4,8
2021-03-03-6,14
2021-03-03-7,18
2021-03-03-8,13
2021-03-03-9,13
2021-03-03-10,10
2021-03-03-11,14
2021-03-03-12,13
2021-03-03-13,11
2021-03-03-14,11
2021-03-03-15,12
2021-03-03-16,15
2021-03-03-17,16
2021-03-03-18,15
2021-03-03-19,12
2021-03-03-20,13
2021-03-03-21,12
2021-03-03-22,14
2021-03-03-23,14
2021-03-04-0,12
2021-03-04-1,13
2021-03-04-2,10
2021-03-04-3,13
2021-03-04-4,15
2021-03-04-5,11
2021-03-04-6,12
2021-03-04-7,19
2021-03-04-8,15
2021-03-04-9,13
2021-03-04-10,17
2021-03-04-11,12
2021-03-04-12,11
2021-03-04-13,12
2021-03-04-14,14
2021-03-04-15,15
2021-03-04-16,14
2021-03-04-17,11
2021-03-04-18,11
2021-03-04-19,15
2021-03-04-20,13
2021-03-04-21,14
2021-03-04-22,13
2021-03-04-23,30
2021-03-05-0,37
2021-03-05-1,50
2021-03-05-2,53
2021-03-05-3,12
2021-03-05-4,37
2021-03-05-6,14
2021-03-05-7,18
2021-03-05-8,13
2021-03-05-9,18
2021-03-05-10,17
2021-03-05-11,12
2021-03-05-12,13
2021-03-05-13,12
2021-03-05-14,12
2021-03-05-15,14
2021-03-05-16,13
2021-03-05-17,12
2021-03-05-18,22
2021-03-05-19,18
2021-03-05-20,12
2021-03-05-21,12
2021-03-05-22,15
2021-03-05-23,13
2021-03-06-0,13
2021-03-06-1,13
2021-03-06-2,16
2021-03-06-3,16
2021-03-06-4,23
2021-03-06-6,19
2021-03-06-7,14
2021-03-06-8,10
2021-03-06-9,12
2021-03-06-10,13
2021-03-06-11,12
2021-03-06-12,12
2021-03-06-13,12
2021-03-06-14,12
2021-03-06-15,12
2021-03-06-16,12
2021-03-06-17,12
2021-03-06-18,13
2021-03-06-19,12
2021-03-06-20,11
2021-03-06-21,11
2021-03-06-22,11
2021-03-06-23,12
2021-03-07-0,11
2021-03-07-1,12
2021-03-07-2,8
2021-03-07-3,18
2021-03-07-4,21
2021-03-07-5,9
2021-03-07-7,17
2021-03-07-8,12
2021-03-07-9,13
2021-03-07-10,14
2021-03-07-11,14
2021-03-07-12,9
2021-03-07-13,12
2021-03-07-14,13
2021-03-07-15,13
2021-03-07-16,13
2021-03-07-17,17
2021-03-07-18,12
2021-03-07-19,17
2021-03-07-20,13
2021-03-07-21,13
2021-03-07-22,13
2021-03-07-23,11
2021-03-08-0,7
2021-03-08-1,14
2021-03-08-2,13
2021-03-08-3,39
2021-03-08-5,8
2021-03-08-6,14
2021-03-08-7,17
2021-03-08-8,11
2021-03-08-9,11
2021-03-08-10,15
2021-03-08-11,12
2021-03-08-12,13
2021-03-08-13,12
2021-03-08-14,14
2021-03-08-15,14
2021-03-08-16,11
2021-03-08-17,14
2021-03-08-18,12
2021-03-08-19,12
2021-03-08-20,15
2021-03-08-21,12
2021-03-08-22,16
2021-03-08-23,23
2021-03-09-0,14
2021-03-09-1,16
2021-03-09-2,34
2021-03-09-3,49
2021-03-09-4,14
2021-03-09-5,23
2021-03-09-6,16
2021-03-09-7,18
2021-03-09-8,13
2021-03-09-9,14
2021-03-09-10,12
2021-03-09-11,11
2021-03-09-12,11
2021-03-09-13,10
2021-03-09-14,13
2021-03-09-15,18
2021-03-09-16,23
2021-03-09-17,14
2021-03-09-18,18
2021-03-09-19,15
2021-03-09-20,13
2021-03-09-21,13
2021-03-09-22,15
2021-03-09-23,13
2021-03-10-0,11
2021-03-10-1,8
2021-03-10-2,14
2021-03-10-3,22
2021-03-10-4,13
2021-03-10-5,25
2021-03-10-6,14
2021-03-10-7,16
2021-03-10-8,14
2021-03-10-9,17
2021-03-10-10,20
2021-03-10-11,15
2021-03-10-12,11
2021-03-10-13,12
2021-03-10-14,12
2021-03-10-15,12
2021-03-10-16,12
2021-03-10-17,17
2021-03-10-18,13
2021-03-10-19,15
2021-03-10-20,11
2021-03-10-21,13
2021-03-10-22,21
2021-03-10-23,34
2021-03-11-0,33
2021-03-11-1,61
2021-03-11-2,13
2021-03-11-3,22
2021-03-11-4,9
2021-03-11-5,18
2021-03-11-6,15
2021-03-11-7,17
2021-03-11-8,13
2021-03-11-9,14
2021-03-11-10,12
2021-03-11-11,11
2021-03-11-12,13
2021-03-11-13,11
2021-03-11-14,11
2021-03-11-15,14
2021-03-11-16,14
2021-03-11-17,15
2021-03-11-18,13
2021-03-11-19,16
2021-03-11-20,12
2021-03-11-21,14
2021-03-11-22,14
2021-03-11-23,12
2021-03-12-0,31
2021-03-12-1,32
2021-03-12-3,34
2021-03-12-5,11
2021-03-12-6,16
2021-03-12-7,19
2021-03-12-8,12
2021-03-12-9,12
2021-03-12-10,12
